ID,traded_currencies,percentage_of_market,source,price
Cryptsy - LiteBar / Bitcoin,"LiteBar, Bitcoin",0.00%,Cryptsy,0.03
BTC-E - Litecoin / Bitcoin,"Litecoin, Bitcoin",12.74%,BTC-E,3.99
Cryptsy - Litecoin / Bitcoin,"Litecoin, Bitcoin",12.74%,Cryptsy,3.99
HitBTC - Litecoin / Bitcoin,"Litecoin, Bitcoin",12.74%,HitBTC,3.98
BTC - Litecoin / Chinese Yuan (1),"Litecoin, Chinese Yuan",12.74%,BTC,3.99
BTC - Litecoin / Chinese Yuan (2),"Litecoin, Chinese Yuan",12.74%,BTC,3.98
BTC China - Litecoin / Chinese Yuan,"Litecoin, Chinese Yuan",12.74%,BTC China,3.99
Bitfinex - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,Bitfinex,3.98
BTC-E - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,BTC-E,3.9
HitBTC - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,HitBTC,3.99
OkCoin Intl. - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,OkCoin Intl.,4
Cryptoine - Magi / Bitcoin,"Magi, Bitcoin",0.00%,Cryptoine,0.02
MasterXchange - MaidSafeCoin / Bitcoin,"MaidSafeCoin, Bitcoin",0.03%,MasterXchange,0.02
Poloniex - MaidSafeCoin / Bitcoin,"MaidSafeCoin, Bitcoin",0.03%,Poloniex,0.02
Poloniex - MaidSafeCoin / Monero,"MaidSafeCoin, Monero",0.03%,Poloniex,2.89
Poloniex - Maieuticoin / Bitcoin,"Maieuticoin, Bitcoin",0.00%,Poloniex,26.73
SwissCEX - Marinecoin / Bitcoin,"Marinecoin, Bitcoin",0.00%,SwissCEX,0.02
BTER - Mastercoin / Bitcoin,"Mastercoin, Bitcoin",0.00%,BTER,3.44
Mastercoin DEX - Mastercoin / Bitcoin,"Mastercoin, Bitcoin",0.00%,Mastercoin DEX,3.82
MasterXchange - Mastercoin / Bitcoin,"Mastercoin, Bitcoin",0.00%,MasterXchange,3.73
Poloniex - Mastercoin / Bitcoin,"Mastercoin, Bitcoin",0.00%,Poloniex,3.65
Bittrex - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,Bittrex,0.02
BTER - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,BTER,0.02
Coinbroker - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,Coinbroker,0.02
Coins-E - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,Coins-E,0.02
Cryptsy - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,Cryptsy,0.02
mcxNOW - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,mcxNOW,0.02
SwissCEX - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,SwissCEX,0.03
Bittylicious - MaxCoin / British Pound,"MaxCoin, British Pound",0.04%,Bittylicious,0.02
BTER - MaxCoin / Chinese Yuan,"MaxCoin, Chinese Yuan",0.04%,BTER,0.02
Cryptsy - MaxCoin / Litecoin,"MaxCoin, Litecoin",0.04%,Cryptsy,0.02
BTER - Megacoin / Bitcoin,"Megacoin, Bitcoin",0.00%,BTER,0.03
Coins-E - Megacoin / Bitcoin,"Megacoin, Bitcoin",0.00%,Coins-E,0.02
Cryptsy - Megacoin / Bitcoin,"Megacoin, Bitcoin",0.00%,Cryptsy,0.03
BTC - Megacoin / Chinese Yuan,"Megacoin, Chinese Yuan",0.00%,BTC,0.03
BTER - Megacoin / Chinese Yuan,"Megacoin, Chinese Yuan",0.00%,BTER,0.03
Cryptsy - Megacoin / Litecoin,"Megacoin, Litecoin",0.00%,Cryptsy,0.02
BTER - MGW / Bitcoin,"MGW, Bitcoin",0.00%,BTER,0.19
Nxt Asset Exchange - MGW / Nxt,"MGW, Nxt",0.00%,Nxt Asset Exchange,0.1
Coins-E - Minerals / Bitcoin,"Minerals, Bitcoin",0.00%,Coins-E,0.02
AllCoin - MonaCoin / Bitcoin,"MonaCoin, Bitcoin",0.01%,AllCoin,0.05
Bittrex - MonaCoin / Bitcoin,"MonaCoin, Bitcoin",0.01%,Bittrex,0.05
Mona Tore - MonaCoin / Bitcoin,"MonaCoin, Bitcoin",0.01%,Mona Tore,0.05
Ybex - MonaCoin / Bitcoin,"MonaCoin, Bitcoin",0.01%,Ybex,0.04
